iter	Passed	Remaining
0	58	58102
1	58	29205
2	58	19553
3	59	14729
4	59	11836
5	59	9910
6	60	8536
7	60	7497
8	60	6690
9	61	6044
10	61	5515
11	61	5074
12	61	4700
13	62	4380
14	62	4101
15	62	3861
16	63	3646
17	63	3455
18	63	3295
19	64	3144
20	64	3006
21	64	2879
22	65	2763
23	65	2660
24	65	2565
25	66	2476
26	66	2395
27	66	2317
28	67	2244
29	67	2176
30	67	2113
31	67	2053
32	68	1996
33	68	1944
34	68	1895
35	69	1848
36	69	1804
37	69	1768
38	70	1735
39	70	1699
40	71	1662
41	71	1627
42	71	1597
43	72	1565
44	72	1535
45	72	1506
46	72	1478
47	73	1452
48	73	1427
49	73	1402
50	74	1380
51	74	1358
52	74	1336
53	75	1316
54	75	1297
55	75	1277
56	76	1259
57	76	1240
58	76	1222
59	76	1205
60	77	1188
61	77	1171
62	77	1155
63	77	1140
64	78	1125
65	78	1111
66	78	1097
67	79	1084
68	79	1070
69	79	1057
70	79	1045
71	80	1033
72	80	1020
73	80	1009
74	80	998
75	81	987
76	81	977
77	81	967
78	82	956
79	82	947
80	82	937
81	82	928
82	82	916
83	83	907
84	83	898
85	83	890
86	83	881
87	84	873
88	84	865
89	84	857
90	85	852
91	85	846
92	86	840
93	86	832
94	86	825
95	87	819
96	87	813
97	87	807
98	87	800
99	88	794
100	88	788
101	88	781
102	89	775
103	89	769
104	89	763
105	89	758
106	90	752
107	90	746
108	90	741
109	91	737
110	91	732
111	91	727
112	91	721
113	92	716
114	92	711
115	92	706
116	92	701
117	93	696
118	93	692
119	93	687
120	94	683
121	94	679
122	94	675
123	95	671
124	95	667
125	95	663
126	95	658
127	96	655
128	96	651
129	96	647
130	96	643
131	97	639
132	97	636
133	97	632
134	98	628
135	98	625
136	98	621
137	99	618
138	99	615
139	99	612
140	100	610
141	100	608
142	101	606
143	101	604
144	102	601
145	102	598
146	102	595
147	102	592
148	103	589
149	103	586
150	103	583
151	104	580
152	104	577
153	104	574
154	104	572
155	105	568
156	105	566
157	105	563
158	106	560
159	106	557
160	106	554
161	106	552
162	107	549
163	107	546
164	107	544
165	107	541
166	108	538
167	108	536
168	108	533
169	108	531
170	109	528
171	109	526
172	109	524
173	109	521
174	110	519
175	110	517
176	110	514
177	111	512
178	111	510
179	111	508
180	111	506
181	112	504
182	112	502
183	112	500
184	113	499
185	113	497
186	114	495
187	114	494
188	114	493
189	115	491
190	115	489
191	115	487
192	116	486
193	116	484
194	116	482
195	117	480
196	117	479
197	117	477
198	118	475
199	118	474
200	118	472
201	119	470
202	119	468
203	119	467
204	120	465
205	120	464
206	120	462
207	120	460
208	121	458
209	121	457
210	121	455
211	122	453
212	122	452
213	122	450
214	122	449
215	123	447
216	123	446
217	124	444
218	124	443
219	124	442
220	125	441
221	125	440
222	125	438
223	126	437
224	126	435
225	126	434
226	127	432
227	127	431
228	127	429
229	127	428
230	128	426
231	128	425
232	128	424
233	129	422
234	129	421
235	129	420
236	130	418
237	130	417
238	130	416
239	131	414
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	133	401
250	134	400
251	134	399
252	134	398
253	135	396
254	135	395
255	135	394
256	135	392
257	136	391
258	136	390
259	136	388
260	136	387
261	137	386
262	137	385
263	137	384
264	138	383
265	138	382
266	138	380
267	139	380
268	139	379
269	139	377
270	140	376
271	140	375
272	140	375
273	141	373
274	141	372
275	141	371
276	142	370
277	142	369
278	142	368
279	142	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	360
286	144	359
287	145	358
288	145	357
289	145	356
290	146	355
291	146	354
292	146	353
293	147	353
294	147	352
295	147	351
296	147	350
297	148	349
298	148	348
299	148	347
300	149	346
301	149	345
302	149	344
303	150	343
304	150	342
305	150	341
306	150	340
307	151	339
308	151	338
309	151	337
310	151	336
311	152	335
312	152	334
313	152	333
314	152	332
315	153	331
316	153	330
317	153	329
318	153	328
319	154	327
320	154	326
321	155	326
322	155	325
323	156	325
324	156	325
325	156	324
326	157	323
327	157	322
328	157	322
329	158	321
330	158	320
331	158	319
332	159	318
333	159	317
334	159	317
335	160	316
336	160	315
337	160	314
338	160	313
339	161	312
340	161	312
341	161	311
342	162	310
343	162	309
344	162	309
345	163	308
346	163	307
347	163	306
348	164	306
349	164	305
350	164	304
351	164	303
352	165	302
353	165	301
354	165	301
355	166	300
356	166	299
357	166	298
358	166	298
359	167	297
360	167	296
361	167	295
362	168	295
363	168	294
364	168	293
365	169	292
366	169	292
367	171	293
368	171	293
369	171	292
370	172	292
371	172	291
372	173	291
373	173	290
374	174	290
375	174	289
376	174	288
377	175	288
378	175	287
379	175	286
380	175	285
381	176	285
382	176	284
383	176	283
384	177	282
385	177	282
386	177	281
387	177	280
388	178	279
389	178	279
390	178	278
391	179	277
392	179	276
393	179	276
394	179	275
395	180	274
396	180	273
397	180	273
398	180	272
399	181	271
400	181	270
401	181	270
402	181	269
403	182	268
404	182	268
405	182	267
406	183	266
407	183	265
408	183	265
409	183	264
410	184	263
411	184	263
412	184	262
413	185	262
414	186	262
415	186	262
416	186	261
417	187	260
418	187	260
419	187	259
420	188	258
421	188	258
422	188	257
423	188	256
424	189	256
425	189	255
426	189	254
427	190	253
428	190	253
429	190	252
430	190	251
431	191	251
432	191	250
433	191	249
434	191	249
435	192	248
436	192	247
437	192	247
438	192	246
439	193	245
440	193	245
441	193	244
442	194	243
443	194	243
444	194	242
445	194	242
446	195	241
447	195	240
448	195	240
449	195	239
450	196	238
451	196	238
452	196	237
453	197	236
454	197	236
455	197	235
456	197	235
457	198	234
458	198	233
459	198	233
460	198	232
461	199	231
462	199	231
463	199	230
464	200	230
465	200	230
466	201	229
467	201	228
468	201	228
469	201	227
470	202	227
471	202	226
472	202	225
473	202	225
474	203	224
475	203	223
476	203	223
477	204	222
478	204	222
479	204	221
480	204	221
481	205	220
482	205	219
483	205	219
484	205	218
485	206	218
486	206	217
487	206	217
488	207	216
489	207	215
490	207	215
491	207	214
492	208	214
493	208	213
494	208	212
495	209	212
496	209	211
497	209	211
498	209	210
499	210	210
500	210	209
501	210	209
502	210	208
503	211	207
504	211	207
505	211	206
506	212	206
507	212	205
508	212	205
509	212	204
510	213	204
511	213	203
512	213	203
513	214	202
514	214	201
515	214	201
516	214	200
517	215	200
518	215	199
519	215	199
520	216	198
521	216	198
522	216	197
523	216	196
524	217	196
525	217	195
526	217	195
527	217	194
528	217	194
529	218	193
530	218	192
531	218	192
532	219	191
533	219	191
534	219	190
535	220	190
536	220	190
537	220	189
538	221	189
539	221	188
540	221	187
541	221	187
542	222	186
543	222	186
544	222	185
545	222	185
546	223	184
547	223	184
548	223	183
549	223	183
550	224	182
551	224	182
552	224	181
553	225	181
554	225	180
555	225	180
556	225	179
557	226	179
558	226	178
559	226	178
560	226	177
561	227	177
562	227	176
563	227	176
564	228	175
565	228	175
566	228	174
567	229	174
568	229	173
569	229	173
570	229	172
571	230	172
572	230	171
573	230	171
574	230	170
575	231	170
576	231	169
577	232	169
578	232	168
579	232	168
580	232	167
581	233	167
582	233	166
583	233	166
584	234	166
585	234	165
586	234	165
587	235	164
588	235	164
589	235	163
590	235	163
591	236	162
592	236	162
593	236	161
594	236	161
595	237	160
596	237	160
597	237	159
598	237	159
599	238	158
600	238	158
601	238	157
602	238	157
603	239	156
604	239	156
605	239	155
606	239	155
607	240	154
608	240	154
609	240	153
610	241	153
611	241	153
612	241	152
613	241	152
614	242	151
615	242	151
616	242	150
617	243	150
618	243	149
619	243	149
620	243	148
621	244	148
622	244	147
623	244	147
624	244	146
625	245	146
626	245	146
627	246	145
628	246	145
629	246	144
630	247	144
631	247	144
632	248	143
633	248	143
634	248	143
635	249	142
636	249	142
637	249	141
638	250	141
639	250	140
640	250	140
641	250	139
642	251	139
643	251	139
644	251	138
645	252	138
646	252	137
647	252	137
648	252	136
649	253	136
650	253	135
651	253	135
652	254	135
653	254	134
654	254	134
655	254	133
656	255	133
657	255	132
658	255	132
659	255	131
660	256	131
661	256	130
662	256	130
663	256	130
664	257	129
665	257	129
666	257	128
667	258	128
668	258	127
669	258	127
670	258	126
671	259	126
672	259	126
673	259	125
674	260	125
675	260	124
676	260	124
677	260	123
678	261	123
679	261	123
680	261	122
681	261	122
682	262	121
683	262	121
684	263	121
685	263	120
686	264	120
687	264	119
688	264	119
689	264	118
690	265	118
691	265	118
692	265	117
693	266	117
694	266	116
695	266	116
696	266	116
697	267	115
698	267	115
699	267	114
700	267	114
701	268	113
702	268	113
703	268	113
704	269	112
705	269	112
706	269	111
707	269	111
708	270	110
709	270	110
710	270	110
711	270	109
712	271	109
713	271	108
714	271	108
715	272	107
716	272	107
717	272	107
718	272	106
719	273	106
720	273	105
721	273	105
722	273	104
723	274	104
724	274	104
725	274	103
726	275	103
727	275	102
728	275	102
729	275	102
730	276	101
731	276	101
732	276	100
733	277	100
734	277	99
735	277	99
736	278	99
737	278	98
738	279	98
739	279	98
740	279	97
741	279	97
742	280	96
743	280	96
744	280	96
745	281	95
746	281	95
747	281	94
748	281	94
749	282	94
750	282	93
751	282	93
752	283	92
753	283	92
754	283	92
755	283	91
756	284	91
757	284	90
758	284	90
759	284	89
760	285	89
761	285	89
762	285	88
763	285	88
764	285	87
765	286	87
766	286	87
767	286	86
768	287	86
769	287	85
770	287	85
771	287	85
772	288	84
773	288	84
774	288	83
775	289	83
776	289	83
777	289	82
778	289	82
779	290	81
